X,Y,ROTATION,LEGEND_TOP_MARGIN,LRFLAG,JOB_NO,MAP_ID,OBJECTID,SHAPE.LEN,LEGEND_BOTTOM_MARGIN,FRACL,SUBAREA_NO,AREA_NO,PAGELETTER_ID,POLTOWNSHIP_NAME,MAPTITLE,RANGE,SECTION_NO,SHAPE.AREA,IBL,TOWNSHIP,FLYLEAF,PAGE
-87.6931213694998,41.8556085010814,0,,L,,9564,12501,8024.29562442226,,,24,16,G,WEST,WEST,13,24,3575439.9326, ,39,0,1624G
-87.6437593980568,41.8344400499808,0,,L,,7054,12502,7971.94826511869,,,33,17,C,SOUTH,SOUTH,14,33,3528125.0222195, ,39,0,1733C
-87.6148687563764,41.8487423752573,0,,L,,7068,12503,8018.58365594603,,,27,17,A,SOUTH,SOUTH,14,27,3575541.113089, ,39,0,1727A
-87.672935377939,41.8340721502872,0,,L,,7075,12504,8010.22610020709,,,31,17,A,SOUTH,SOUTH,14,31,3561051.800818, ,39,0,1731A
-87.6490982045758,41.8708099309497,0,,R,,7085,12505,7508.82763153083,,,17,17,H,WEST,WEST,14,17,2958768.3096195, ,39,0,1717H
-87.6836948443514,41.8702979002519,0,,L,,7128,12506,7973.28660683626,,,18,17,E,WEST,WEST,14,18,3537673.1235005, ,39,1,1718E
-87.6592478303155,41.8707271813791,0,,R,2001001828,7098,12508,7912.89695887902,,,17,17,F,WEST,WEST,14,17,3493845.5172505, ,39,1,1717F
-87.6387165049268,41.8272085998039,0,,R,,7044,12510,7971.12421446316,,,33,17,F,SOUTH,SOUTH,14,33,3528818.489405, ,39,0,1733F
-87.6300605034742,41.8707677235358,0,,R,2005002830,7093,12514,7866.15831585008,,,16,17,H,SOUTH,SOUTH,14,16,3491609.1348985, ,39,1,1716H
-87.624224989518,41.9043565073611,0,,R,,6778,12515,496.591287785464,,,3,17,D,NORTH,NORTH,14,3,3013.2564, ,39,0,1703D
-87.6168801916644,41.8788129248286,0,,L,,7083,12518,6419.64204342915,,,15,17,A,SOUTH,SOUTH,14,15,769561.7613485, ,39,0,1715A
-87.6838936727678,41.8775856995394,0,,L,,7094,12519,7975.16000838392,,,18,17,C,WEST,WEST,14,18,3537849.304965, ,39,1,1718C
